Date,share_count,author,Index
2016-03-31,1502,Jim Sensenbrenner,0
2016-03-31,6308,Charles Blow,1
2016-03-31,826,Zeynep Tufekci,2
2016-03-31,685,Gail Collins,3
2016-03-31,1040,Nicholas Kristof,4
2016-03-31,169,The Editorial Board,5
2016-03-31,135,The Editorial Board,6
2016-03-31,145,The Editorial Board,7
2016-03-31,487,Linda Greenhouse,8
2016-03-31,466,The Editorial Board,9
2016-03-31,237,Kenan Malik,10
2016-03-30,1493,Thomas Edsall,11
2016-03-30,172,The Editorial Board,12
2016-03-30,44,The Editorial Board,13
2016-03-30,332,Sarah Eleazar,14
2016-03-30,1070,Thomas Friedman,15
2016-03-30,14188,Frank Bruni,16
2016-03-30,764,Ellen Weintraub,17
2016-03-30,113,The Editorial Board,18
2016-03-30,788,Rafia Zakaria,19
2016-03-30,211,Abdu Mansour,20
2016-03-29,397,Roger Cohen,21
2016-03-29,1907,Joe Callander,22
2016-03-29,1720,Terry Williams,23
2016-03-29,641,The Editorial Board,24
2016-03-29,413,Emma Roller,25
2016-03-29,523,Eric Alterman,26
2016-03-29,99,Arthur Brooks,27
2016-03-29,8805,David Brooks,28
2016-03-29,184,The Editorial Board,29
2016-03-29,2866,The Editorial Board,30
2016-03-29,88,Tash Aw,31
2016-03-28,158,The Editorial Board,32
2016-03-28,675,Charles Blow,33
2016-03-28,1429,The Editorial Board,34
2016-03-28,933,The Editorial Board,35
2016-03-28,476,Orrin Hatch,36
2016-03-28,284,Bryce Covert,37
2016-03-28,818,Paul Krugman,38
2016-03-28,6219,Lin-Manuel Miranda,39
2016-03-28,163,The Editorial Board,40
2016-03-28,486,Saleem Jubouri,41
2016-03-27,158,The Editorial Board,42
2016-03-27,1233,Alison Leiby,43
2016-03-27,499,Nate Cohn,44
2016-03-27,2454,Jennifer Weiner,45
2016-03-27,5305,Nicholas Kristof,46
2016-03-27,91,The Editorial Board,47
2016-03-27,1628,Angela Duckworth,48
2016-03-27,472,The Editorial Board,49
2016-03-27,1587,Kaitlyn Greenidge,50
2016-03-27,630,Mona Hanna-Attisha,51
2016-03-27,2651,Marie Lee,52
2016-03-27,665,Ross Douthat,53
2016-03-27,1167,Maureen Dowd,54
2016-03-27,17,Kate Murphy,55
2016-03-27,210,Scott Shane,56
2016-03-27,334,Lawrence Downes,57
2016-03-27,1471,Frank Bruni,58
2016-03-27,919,Craig Fox,59
2016-03-27,728,James Traub,60
2016-03-27,1041,Pamela Druckerman,61
2016-03-26,1278,Teresa Tritch,62
2016-03-26,90,The Editorial Board,63
2016-03-26,1265,The Editorial Board,64
2016-03-26,3550,Andrew Zimbalist,65
2016-03-26,145,Alan Kuperman,66
2016-03-26,3250,Gail Collins,67
2016-03-26,265,Vanessa Barbara,68
2016-03-25,112,The Editorial Board,69
2016-03-25,2570,The Editorial Board,70
2016-03-25,6513,The Editorial Board,71
2016-03-25,790,Paul Krugman,72
2016-03-25,4555,David Brooks,73
2016-03-25,812,Timothy Egan,74
2016-03-25,222,The Editorial Board,75
2016-03-25,1135,Other,76
2016-03-25,6009,John Mccain,77
2016-03-25,466,Barry Kennerk,78
2016-03-24,415,Jochen Bittner,79
2016-03-24,499,The Editorial Board,80
2016-03-24,6279,The Editorial Board,81
2016-03-24,1834,Nicholas Kristof,82
2016-03-24,1344,Gail Collins,83
2016-03-24,506,Charles Blow,84
2016-03-24,305,Ross Douthat,85
2016-03-24,154,The Editorial Board,86
2016-03-24,2952,GastóN Chillier,87
2016-03-24,131,Maxim Trudolyubov,88
2016-03-23,869,Tom Joehnk,89
2016-03-23,558,Patricia Daly,90
2016-03-23,431,Daniel Byman,91
2016-03-23,1209,Elizabeth Deutsch,92
2016-03-23,20,The Editorial Board,93
2016-03-23,1420,Thomas Friedman,94
2016-03-23,1059,Richard Painter,95
2016-03-23,511,Thomas Edsall,96
2016-03-23,1476,The Editorial Board,97
2016-03-23,177,Matthew Levitt,98
2016-03-23,585,The Editorial Board,99
2016-03-23,1256,Jorge CastañEda,100
2016-03-23,678,Roger Cohen,101
2016-03-23,390,Uki GoñI,102
2016-03-22,203,Roger Cohen,103
2016-03-22,401,Betzabé GarcíA,104
2016-03-22,794,Por GarcíA,105
2016-03-22,656,Michael Webber,106
2016-03-22,1002,The Editorial Board,107
2016-03-22,112,The Editorial Board,108
2016-03-22,80,Arthur Brooks,109
2016-03-22,735,Nancy Pelosi,110
2016-03-22,3147,David Brooks,111
2016-03-22,2162,Emma Roller,112
2016-03-22,324,The Editorial Board,113
2016-03-21,504,Aatish Taseer,114
2016-03-21,1574,Chandra Bozelko,115
2016-03-21,1078,The Editorial Board,116
2016-03-21,726,Ioan Grillo,117
2016-03-21,1188,Charles Blow,118
2016-03-21,918,The Editorial Board,119
2016-03-21,53,The Editorial Board,120
2016-03-21,1590,Paul Krugman,121
2016-03-21,116,Mark Schmitt,122
2016-03-20,7916,Peter Wehner,123
2016-03-20,2898,Eric Fair,124
2016-03-20,615,Alex Hutchinson,125
2016-03-20,216,Jean Thompson,126
2016-03-20,1561,Katie Roiphe,127
2016-03-20,4810,Peggy Orenstein,128
2016-03-20,4101,Nicholas Kristof,129
2016-03-20,242,The Editorial Board,130
2016-03-20,210,The Editorial Board,131
2016-03-20,757,Brent Staples,132
2016-03-20,14,Margaret Sullivan,133
2016-03-20,4385,Kanishk Tharoor,134
2016-03-20,412,Ross Douthat,135
2016-03-20,1802,Maureen Dowd,136
2016-03-20,414,Mark Rank,137
2016-03-20,414,Ian Millhiser,138
2016-03-20,12563,Anthony Banbury,139
2016-03-19,171,Roger Cohen,140
2016-03-19,1228,Anna North,141
2016-03-19,3870,The Editorial Board,142
2016-03-19,173,The Editorial Board,143
2016-03-19,1102,Gabriel Popkin,144
2016-03-19,1154,Constance Veit,145
