Share Count	Author	Date	Title
6396	Charles Blow	2016-03-31	‘Bernie or Bust’ Is Bonkers
687	Gail Collins	2016-03-31	The Republican Gun-Free Zone
1042	Nicholas Kristof	2016-03-31	Trump and Abortion
169	The Editorial Board	2016-03-31	Marching Toward a $15 Minimum Wage
135	The Editorial Board	2016-03-31	An Austerity Plan That Would Punish the City
145	The Editorial Board	2016-03-31	The Clemency Backlog Continues
466	The Editorial Board	2016-03-31	A Marred Election in the Republic of Congo
172	The Editorial Board	2016-03-30	America Needs Frank Talk on ISIS
44	The Editorial Board	2016-03-30	Don’t Let Albany Ethics Reform Slip Away
1070	Thomas Friedman	2016-03-30	When the Necessary Is Impossible
14288	Frank Bruni	2016-03-30	College Admissions Shocker!
114	The Editorial Board	2016-03-30	Unions Win, but the Court Is Still Hobbled
397	Roger Cohen	2016-03-29	Trump's New World Disorder
641	The Editorial Board	2016-03-29	Georgia’s Governor Sets a Wise Example for Tolerance
8816	David Brooks	2016-03-29	The Sexual Politics of 2016
184	The Editorial Board	2016-03-29	Another Bombing, This Time in Pakistan
2868	The Editorial Board	2016-03-29	Mr. Trump’s Dangerous Babble on Foreign Policy
158	The Editorial Board	2016-03-28	The Neanderthals, the Denisovans and Us
675	Charles Blow	2016-03-28	Republican Self-Destruction
1429	The Editorial Board	2016-03-28	The State Assault on Planned Parenthood
936	The Editorial Board	2016-03-28	A Modern System of Debtor Prisons
819	Paul Krugman	2016-03-28	Trade, Labor, and Politics
163	The Editorial Board	2016-03-28	Keeping Nuclear Weapons From Terrorists
158	The Editorial Board	2016-03-27	The Neanderthals, the Denisovans and Us
5342	Nicholas Kristof	2016-03-27	My Shared Shame: The Media Helped Make Trump
92	The Editorial Board	2016-03-27	Protecting Employees’ Health Data
400	The Editorial Board	2016-03-27	 Who Has the Candidate’s Ear?
472	The Editorial Board	2016-03-27	 Wall Street’s Retreat From King Coal
665	Ross Douthat	2016-03-27	Who Is Ted Cruz?
1167	Maureen Dowd	2016-03-27	Obama’s Last Tango
1471	Frank Bruni	2016-03-27	Lose With Cruz: A Love Story
90	The Editorial Board	2016-03-26	Holding On to New Voters in November
1265	The Editorial Board	2016-03-26	Time to Rethink U.S. Relationship With Egypt
3250	Gail Collins	2016-03-26	Trump, Cruz, Kasich and the Ladies
112	The Editorial Board	2016-03-25	Human Trafficking on Trial in Thailand
2570	The Editorial Board	2016-03-25	The Racism at the Heart of Flint’s Crisis
6515	The Editorial Board	2016-03-25	Transgender Law Makes North Carolina Pioneer in Bigotry
790	Paul Krugman	2016-03-25	Crazy About Money
4561	David Brooks	2016-03-25	The Post-Trump Era
222	The Editorial Board	2016-03-25	Accountability, at Last, for Bosnia’s Agony
500	The Editorial Board	2016-03-24	Hillary Clinton and Other Candidates on Counterterrorism
6336	The Editorial Board	2016-03-24	The Senate Defers to the N.R.A.
1836	Nicholas Kristof	2016-03-24	Overreacting to Terrorism?
1344	Gail Collins	2016-03-24	The Republicans’ Sin of Endorsement
305	Ross Douthat	2016-03-24	Trumpism After Trump
506	Charles Blow	2016-03-24	Dangerous World, Serious Leaders
